DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0.2678666666666661	0.03556183940027854,0.008146820959869523,-0.01176192489721266	0.0239251209278986,-0.0008305151480010649,-0.01059991683922651
0.2711333333333328	0.0355612288470918,0.008139401355227283,-0.01176674401183485	0.0239240543198716,-0.000838247192742397,-0.01061065551721017
0.2743999999999994	0.03555899682313907,0.008128908333913085,-0.01177100526918663	0.02392089894798948,-0.0008488856309349993,-0.01062344019130855
0.2776666666666661	0.0355549068504462,0.008114376542297675,-0.01177424477810259	0.02391500413296803,-0.0008629254107303738,-0.01063829642811103
0.2809333333333328	0.03554891162943671,0.008095035906477643,-0.01177624416122721	0.02390591057253003,-0.0008806032711464375,-0.01065509680713408
0.2841999999999994	0.03554107290182594,0.008070269359415114,-0.01177692929813084	0.02389328502999319,-0.0009019827790883086,-0.0106736131912565
0.2874666666666661	0.03553152172791306,0.008039759509834724,-0.01177611767465804	0.02387690136190909,-0.0009268388461539726,-0.01069330426891755
0.2907333333333327	0.03552040793732904,0.008003373543200652,-0.0117734687136486	0.02385658504188307,-0.0009547941141524949,-0.01071345291378516
0.2939999999999994	0.03550818412533646,0.007961741910096834,-0.01176855498168751	0.02383263833142451,-0.000984868978529594,-0.01073294284502137
0.2972666666666661	0.0354955394790416,0.007916015165459471,-0.01176115151560911	0.02380575679235151,-0.001015712800413644,-0.0107504937481689
0.3005333333333327	0.03548424160330731,0.007868782695126581,-0.01175310078730125	0.023778212493282,-0.001044940844045376,-0.01076497994923329
0.3037999999999993	0.03547671124478879,0.007823425189410134,-0.01174771956812855	0.0237532294176927,-0.001069632430520467,-0.01077542807663754
0.307066666666666	0.03547522905652849,0.007783090932079075,-0.01174998038009802	0.02373410720582231,-0.001087355620660514,-0.01078165534813302
0.3103333333333327	0.03548160363372108,0.0077501818085577,-0.01176462040201715	0.02372356889761417,-0.001096373633594362,-0.01078390091769656
0.3135999999999993	0.03549419103895212,0.00772343945152767,-0.01179010646046498	0.02371989475696879,-0.00109803148851266,-0.01078221286238359
0.316866666666666	0.03550923286015766,0.007699228080264014,-0.01182041407692695	0.02371854670455027,-0.001095672947562657,-0.01077664809987235
0.3201333333333327	0.03552468863978202,0.007674722817768701,-0.01184882344974559	0.02371648635109109,-0.001091535362927606,-0.01076727280222147
0.3233999999999994	0.0355362745298402,0.007643489043236836,-0.01186904454326548	0.02370751794819409,-0.001090523258697233,-0.010754788110294
0.326666666666666	0.0349358538738458,0.002219062020679435,-0.01479206649418196	0.02132039982669495,-0.003356674250383126,-0.01362457835734077
